일자,매장,품번,시리즈,수량,매출,채널,영업사원,거래처
2026-01-01,,WC2104,WC2,1,277938,B2B,영업사원_07,거래처_Ab
2026-01-01,,WC2109,WC2,3,843000,B2B,영업사원_01,거래처_A
2026-01-01,,WC2115,WC2,1,243000,B2B,영업사원_09,거래처_Q
2026-01-01,,WC2116,WC2,2,474000,B2B,영업사원_06,거래처_J
2026-01-01,,WC2122,WC2,1,179000,B2B,영업사원_07,거래처_A{
2026-01-01,,WC2124,WC2,3,780207,B2B,영업사원_07,거래처_Aq
2026-01-01,,WC2127,WC2,1,169000,B2B,영업사원_10,거래처_G
2026-01-01,,WC2133,WC2,5,485000,B2B,영업사원_02,거래처_E
2026-01-01,,WC2134,WC2,1,205000,B2B,영업사원_10,거래처_A}
2026-01-01,,WC2137,WC2,1,81000,B2B,영업사원_03,거래처_Am
2026-01-01,,WC2138,WC2,1,158000,B2B,영업사원_09,거래처_AU
2026-01-01,,WC2140,WC2,20,6040000,B2B,영업사원_09,거래처_G
2026-01-01,,WC2143,WC2,1,180259,B2B,영업사원_09,거래처_A^
2026-01-01,,WC2147,WC2,3,720000,B2B,영업사원_08,거래처_Ag
2026-01-01,,WC2147,WC2,1,240000,B2B,영업사원_03,거래처_AV
2026-01-01,,WC2150,WC2,1,163000,B2B,영업사원_06,거래처_AJ
2026-01-01,매장_E,BF3111,BF3,2,272000,SSG,,
2026-01-01,매장_A,BF3113,BF3,1,63976,SSG,,
2026-01-01,매장_C,CW1527,CW1,1,398000,SSG,,
2026-01-01,매장_H,WC2104,WC2,2,533910,SSG,,
2026-01-01,매장_H,WC2143,WC2,1,197280,SSG,,
2026-01-01,매장_I,WC2148,WC2,2,459746,SSG,,
2026-01-01,매장_H,BF3118,BF3,3,318000,공식몰,,
2026-01-01,매장_J,BF3124,BF3,5,422870,공식몰,,
2026-01-01,매장_H,BF3124,BF3,20,1980000,공식몰,,
2026-01-01,매장_B,BF3124,BF3,1,99000,공식몰,,
2026-01-01,매장_C,CW1522,CW1,1,720000,공식몰,,
2026-01-01,매장_I,CW1530,CW1,1,550475,공식몰,,
2026-01-01,매장_E,RB1504,RB1,2,798000,공식몰,,
2026-01-01,매장_H,RB1512,RB1,2,1206636,공식몰,,
2026-01-01,매장_I,RB1513,RB1,2,680000,공식몰,,
2026-01-01,매장_F,RB1513,RB1,5,1700000,공식몰,,
2026-01-01,매장_B,RB1535,RB1,1,331000,공식몰,,
2026-01-01,매장_F,RB1536,RB1,1,344000,공식몰,,
2026-01-01,매장_I,WC2105,WC2,2,178390,공식몰,,
2026-01-01,매장_B,WC2129,WC2,2,174000,공식몰,,
2026-01-01,매장_G,BF3117,BF3,1,67000,네이버,,
2026-01-01,매장_B,CW1501,CW1,1,813000,네이버,,
2026-01-01,매장_H,CW1502,CW1,1,472000,네이버,,
2026-01-01,매장_D,CW1523,CW1,1,318000,네이버,,
2026-01-01,매장_C,RB1513,RB1,1,340000,네이버,,
2026-01-01,매장_F,RB1527,RB1,2,1342000,네이버,,
2026-01-01,매장_H,RB1533,RB1,1,441000,네이버,,
2026-01-01,매장_D,WC2112,WC2,3,459000,네이버,,
2026-01-01,매장_F,WC2116,WC2,3,711000,네이버,,
2026-01-01,매장_F,WC2119,WC2,2,442000,네이버,,
2026-01-01,매장_A,WC2126,WC2,1,165617,네이버,,
2026-01-01,매장_J,BF3111,BF3,1,128668,쿠팡,,
2026-01-01,매장_C,RB1514,RB1,3,1542000,쿠팡,,
2026-01-01,매장_H,WC2101,WC2,1,194000,쿠팡,,
2026-01-01,매장_I,WC2103,WC2,1,95000,쿠팡,,
2026-01-01,매장_C,WC2140,WC2,1,302000,쿠팡,,
2026-01-02,,BF3102,BF3,2,274000,B2B,영업사원_08,거래처_AE
2026-01-02,,BF3109,BF3,1,143000,B2B,영업사원_05,거래처_A
2026-01-02,,BF3112,BF3,3,453000,B2B,영업사원_03,거래처_A_
2026-01-02,,BF3116,BF3,1,45000,B2B,영업사원_05,거래처_Ae
2026-01-02,,BF3119,BF3,1,179000,B2B,영업사원_01,거래처_A}
2026-01-02,,BF3120,BF3,2,266000,B2B,영업사원_02,거래처_B
2026-01-02,,BF3123,BF3,1,118000,B2B,영업사원_01,거래처_AJ
2026-01-02,,CW1503,CW1,3,1815000,B2B,영업사원_02,거래처_Aw
2026-01-02,,CW1507,CW1,1,381000,B2B,영업사원_07,거래처_G
2026-01-02,,CW1508,CW1,1,469000,B2B,영업사원_02,거래처_A
2026-01-02,,CW1508,CW1,2,938000,B2B,영업사원_03,거래처_AQ
2026-01-02,,CW1514,CW1,1,781000,B2B,영업사원_10,거래처_Z
2026-01-02,,CW1514,CW1,1,781000,B2B,영업사원_03,거래처_At
2026-01-02,,CW1516,CW1,1,415000,B2B,영업사원_01,거래처_Ae
2026-01-02,,CW1526,CW1,1,730317,B2B,영업사원_04,거래처_AH
2026-01-02,,RB1501,RB1,1,368000,B2B,영업사원_04,거래처_E
2026-01-02,,RB1501,RB1,1,368000,B2B,영업사원_07,거래처_AL
2026-01-02,,RB1503,RB1,1,496000,B2B,영업사원_08,거래처_An
2026-01-02,,RB1503,RB1,3,1488000,B2B,영업사원_07,거래처_P
2026-01-02,,RB1504,RB1,2,683712,B2B,영업사원_02,거래처_AV
2026-01-02,,RB1505,RB1,1,447000,B2B,영업사원_02,거래처_AQ
2026-01-02,,RB1508,RB1,1,369000,B2B,영업사원_02,거래처_B
2026-01-02,,RB1510,RB1,1,672000,B2B,영업사원_02,거래처_E
2026-01-02,,RB1521,RB1,1,295000,B2B,영업사원_09,거래처_AU
2026-01-02,,RB1523,RB1,1,629000,B2B,영업사원_09,거래처_Ab
2026-01-02,,RB1526,RB1,2,970000,B2B,영업사원_04,거래처_A_
2026-01-02,,WC2102,WC2,20,3660000,B2B,영업사원_07,거래처_Ad
2026-01-02,,WC2109,WC2,3,843000,B2B,영업사원_04,거래처_AE
2026-01-02,,WC2111,WC2,1,204000,B2B,영업사원_09,거래처_C
2026-01-02,,WC2113,WC2,1,151000,B2B,영업사원_06,거래처_AF
2026-01-02,,WC2116,WC2,2,474000,B2B,영업사원_05,거래처_K
2026-01-02,,WC2119,WC2,1,221000,B2B,영업사원_02,거래처_A_
2026-01-02,,WC2121-N,WC2,3,646032,B2B,영업사원_06,거래처_AE
2026-01-02,,WC2131,WC2,1,162000,B2B,영업사원_06,거래처_A
2026-01-02,,WC2134,WC2,1,177601,B2B,영업사원_06,거래처_Aw
2026-01-02,,WC2137,WC2,2,162000,B2B,,거래처_Ae
2026-01-02,,WC2138,WC2,1,158000,B2B,영업사원_01,거래처_G
2026-01-02,,WC2142-N,WC2,2,580000,B2B,영업사원_05,거래처_U
2026-01-02,,WC2149-N,WC2,2,426000,B2B,영업사원_01,거래처_A`
2026-01-02,매장_E,CW1504,CW1,2,892000,SSG,,
2026-01-02,매장_C,CW1508,CW1,3,1407000,SSG,,
2026-01-02,매장_J,CW1527,CW1,1,398000,SSG,,
2026-01-02,매장_H,RB1514,RB1,2,1028000,SSG,,
2026-01-02,매장_H,RB1518,RB1,1,671000,SSG,,
2026-01-02,매장_H,RB1540,RB1,1,365000,SSG,,
2026-01-02,매장_E,WC2105,WC2,1,94000,SSG,,
2026-01-02,매장_J,WC2107-N,WC2,1,294000,SSG,,
2026-01-02,매장_D,WC2112,WC2,1,153000,SSG,,
2026-01-02,매장_F,WC2124,WC2,5,1500000,SSG,,
2026-01-02,매장_C,WC2148,WC2,1,238000,SSG,,
2026-01-02,매장_F,BF3107,BF3,10,1590000,공식몰,,
2026-01-02,매장_J,BF3107,BF3,1,159000,공식몰,,
2026-01-02,매장_A,BF3125,BF3,1,67451,공식몰,,
2026-01-02,매장_G,CW1513,CW1,3,2043000,공식몰,,
2026-01-02,매장_B,CW1527,CW1,5,1990000,공식몰,,
2026-01-02,매장_C,CW1530,CW1,1,575000,공식몰,,
2026-01-02,매장_C,RB1501,RB1,2,736000,공식몰,,
2026-01-02,매장_D,RB1505,RB1,1,447000,공식몰,,
2026-01-02,매장_D,RB1522,RB1,1,661000,공식몰,,
2026-01-02,매장_A,RB1530,RB1,2,668000,공식몰,,
2026-01-02,매장_D,RB1535,RB1,1,331000,공식몰,,
2026-01-02,매장_E,WC2107-N,WC2,1,294000,공식몰,,
2026-01-02,매장_F,WC2146,WC2,1,97000,공식몰,,
2026-01-02,매장_I,BF3123,BF3,1,118000,네이버,,
2026-01-02,매장_E,CW1510,CW1,1,745000,네이버,,
2026-01-02,매장_G,RB1519,RB1,3,1308000,네이버,,
2026-01-02,매장_E,RB1536,RB1,1,344000,네이버,,
2026-01-02,매장_J,RB1536,RB1,3,1032000,네이버,,
2026-01-02,매장_A,WC2116,WC2,2,474000,네이버,,
2026-01-02,매장_B,WC2122,WC2,1,179000,네이버,,
2026-01-02,매장_A,WC2130,WC2,1,256000,네이버,,
2026-01-02,매장_E,WC2130,WC2,3,740127,네이버,,
2026-01-02,매장_B,WC2132,WC2,1,187000,네이버,,
2026-01-02,매장_J,WC2142-N,WC2,1,290000,네이버,,
2026-01-02,매장_D,BF3112,BF3,2,262556,쿠팡,,
2026-01-02,매장_B,CW1503,CW1,2,1210000,쿠팡,,
2026-01-02,매장_E,RB1505,RB1,1,447000,쿠팡,,
2026-01-02,매장_I,RB1510,RB1,3,2016000,쿠팡,,
2026-01-02,매장_H,RB1516,RB1,3,1284000,쿠팡,,
2026-01-02,매장_E,RB1521,RB1,1,295000,쿠팡,,
2026-01-02,매장_E,RB1534,RB1,1,311599,쿠팡,,
2026-01-02,매장_G,RB1536,RB1,2,688000,쿠팡,,
2026-01-02,매장_G,WC2111,WC2,1,204000,쿠팡,,
2026-01-02,매장_I,WC2119,WC2,1,221000,쿠팡,,
2026-01-03,,BF3101,BF3,1,154000,B2B,영업사원_06,거래처_AX
2026-01-03,,BF3110,BF3,1,79000,B2B,영업사원_10,거래처_AS
2026-01-03,,CW1528,CW1,1,399998,B2B,영업사원_01,거래처_K
2026-01-03,,RB1503,RB1,1,496000,B2B,영업사원_02,거래처_A[
2026-01-03,,RB1505,RB1,5,2235000,B2B,영업사원_04,거래처_Z
2026-01-03,,RB1516,RB1,1,428000,B2B,영업사원_06,거래처_A[
2026-01-03,,RB1521,RB1,10,2950000,B2B,영업사원_10,거래처_AU
2026-01-03,,RB1522,RB1,1,661000,B2B,영업사원_02,거래처_AN
2026-01-03,,RB1523,RB1,1,629000,B2B,영업사원_10,거래처_AT
2026-01-03,,WC2114-N,WC2,2,362000,B2B,영업사원_02,거래처_Am
2026-01-03,,WC2134,WC2,5,1025000,B2B,영업사원_09,거래처_Af
2026-01-03,,WC2145,WC2,3,807000,B2B,영업사원_02,거래처_K
2026-01-03,,WC2147,WC2,2,480000,B2B,영업사원_02,거래처_AF
2026-01-03,매장_C,BF3116,BF3,3,135000,SSG,,
2026-01-03,매장_J,RB1505,RB1,1,447000,SSG,,
2026-01-03,매장_E,WC2145,WC2,1,269000,SSG,,
2026-01-03,매장_I,BF3120,BF3,1,133000,공식몰,,
2026-01-03,매장_A,RB1514,RB1,1,514000,공식몰,,
2026-01-03,매장_I,RB1528,RB1,3,1026000,공식몰,,
2026-01-03,매장_C,BF3105,BF3,1,152139,네이버,,
2026-01-03,매장_G,BF3118,BF3,1,106000,네이버,,
2026-01-03,매장_B,CW1513,CW1,10,6158220,네이버,,
2026-01-03,매장_A,CW1528,CW1,3,1311000,네이버,,
2026-01-03,매장_I,RB1531,RB1,20,9780000,네이버,,
2026-01-03,매장_A,RB1530,RB1,2,668000,쿠팡,,
2026-01-03,매장_E,WC2115,WC2,1,243000,쿠팡,,
2026-01-04,,BF3114,BF3,1,111000,B2B,영업사원_07,거래처_Av
2026-01-04,,BF3115,BF3,1,59000,B2B,영업사원_04,거래처_AX
2026-01-04,,BF3122,BF3,1,81000,B2B,영업사원_04,거래처_AK
2026-01-04,,CW1507,CW1,1,363898,B2B,영업사원_04,거래처_S
2026-01-04,,CW1519,CW1,20,15080000,B2B,영업사원_02,거래처_A{
2026-01-04,,RB1514,RB1,2,1028000,B2B,영업사원_04,거래처_I
2026-01-04,,RB1517,RB1,1,541000,B2B,영업사원_05,거래처_Ak
2026-01-04,,RB1518,RB1,10,6710000,B2B,영업사원_02,거래처_A\
2026-01-04,,RB1522,RB1,1,661000,B2B,영업사원_07,거래처_AW
2026-01-04,,RB1523,RB1,1,629000,B2B,영업사원_04,거래처_AK
2026-01-04,,RB1529,RB1,1,257000,B2B,영업사원_04,거래처_Az
2026-01-04,,RB1537,RB1,1,275000,B2B,영업사원_07,거래처_An
2026-01-04,,RB1540,RB1,1,365000,B2B,영업사원_08,거래처_Ac
2026-01-04,,WC2115,WC2,1,243000,B2B,,거래처_A~
2026-01-04,,WC2123,WC2,1,125000,B2B,영업사원_01,거래처_AV
2026-01-04,,WC2140,WC2,1,302000,B2B,,거래처_A[
2026-01-04,,WC2145,WC2,1,269000,B2B,영업사원_08,거래처_A{
2026-01-04,매장_B,BF3104,BF3,3,378000,SSG,,
2026-01-04,매장_E,BF3106,BF3,2,156000,SSG,,
2026-01-04,매장_C,BF3107,BF3,1,159000,SSG,,
2026-01-04,매장_E,CW1506,CW1,1,629000,SSG,,
2026-01-04,매장_G,RB1534,RB1,3,1074000,SSG,,
2026-01-04,매장_J,CW1519,CW1,1,754000,공식몰,,
2026-01-04,매장_J,RB1513,RB1,1,340000,공식몰,,
2026-01-04,매장_G,WC2125,WC2,1,96000,공식몰,,
2026-01-04,매장_E,WC2137,WC2,2,162000,공식몰,,
2026-01-04,매장_H,WC2145,WC2,2,538000,공식몰,,
2026-01-04,매장_D,BF3103,BF3,2,184000,네이버,,
2026-01-04,매장_F,RB1513,RB1,1,340000,네이버,,
2026-01-04,매장_C,RB1536,RB1,3,1032000,네이버,,
2026-01-04,매장_H,WC2113,WC2,1,138058,네이버,,
2026-01-04,매장_H,WC2141,WC2,2,470000,네이버,,
2026-01-04,매장_B,WC2146,WC2,2,194000,네이버,,
2026-01-04,매장_F,CW1506,CW1,1,629000,쿠팡,,
2026-01-04,매장_A,RB1536,RB1,1,344000,쿠팡,,
2026-01-04,매장_C,WC2123,WC2,1,125000,쿠팡,,
2026-01-04,매장_H,WC2131,WC2,2,296730,쿠팡,,
2026-01-04,매장_H,WC2146,WC2,5,485000,쿠팡,,
2026-01-05,,BF3103,BF3,1,92000,B2B,영업사원_06,거래처_AG
2026-01-05,,BF3107,BF3,1,147874,B2B,,거래처_W
2026-01-05,,BF3112,BF3,2,302000,B2B,영업사원_03,거래처_L
2026-01-05,,BF3112,BF3,10,1510000,B2B,영업사원_01,거래처_AV
2026-01-05,,BF3112,BF3,1,151000,B2B,영업사원_06,거래처_AF
2026-01-05,,BF3113,BF3,1,72000,B2B,영업사원_10,거래처_A^
2026-01-05,,BF3121,BF3,2,326000,B2B,영업사원_01,거래처_P
2026-01-05,,BF3123,BF3,2,236000,B2B,영업사원_06,거래처_A]
2026-01-05,,CW1501,CW1,2,1626000,B2B,영업사원_08,거래처_W
2026-01-05,,CW1509,CW1,1,812000,B2B,영업사원_05,거래처_Au
2026-01-05,,CW1512,CW1,2,1668000,B2B,영업사원_06,거래처_AQ
2026-01-05,,CW1518,CW1,2,834000,B2B,영업사원_04,거래처_K
2026-01-05,,CW1518,CW1,1,417000,B2B,영업사원_02,거래처_A
2026-01-05,,CW1521,CW1,2,914000,B2B,,거래처_At
2026-01-05,,CW1521,CW1,1,434408,B2B,영업사원_04,거래처_Ax
2026-01-05,,CW1526,CW1,1,792000,B2B,영업사원_08,거래처_A{
2026-01-05,,CW1528,CW1,2,874000,B2B,영업사원_09,거래처_Ak
2026-01-05,,CW1529,CW1,5,3890000,B2B,영업사원_02,거래처_AA
2026-01-05,,RB1502,RB1,1,635000,B2B,영업사원_04,거래처_E
2026-01-05,,RB1506,RB1,1,643000,B2B,영업사원_10,거래처_A^
2026-01-05,,RB1508,RB1,1,369000,B2B,영업사원_02,거래처_A_
2026-01-05,,RB1510,RB1,1,672000,B2B,영업사원_01,거래처_N
2026-01-05,,RB1527,RB1,1,604677,B2B,영업사원_02,거래처_A
2026-01-05,,RB1535,RB1,1,331000,B2B,영업사원_09,거래처_AS
2026-01-05,,RB1540,RB1,2,730000,B2B,영업사원_02,거래처_X
2026-01-05,,WC2110,WC2,1,107000,B2B,영업사원_03,거래처_A~
2026-01-05,,WC2110,WC2,2,214000,B2B,영업사원_05,거래처_G
2026-01-05,,WC2113,WC2,1,136239,B2B,영업사원_07,거래처_Ao
2026-01-05,,WC2119,WC2,1,221000,B2B,영업사원_06,거래처_E
2026-01-05,,WC2119,WC2,1,221000,B2B,영업사원_08,거래처_A~
2026-01-05,,WC2119,WC2,2,442000,B2B,영업사원_10,거래처_AT
2026-01-05,,WC2123,WC2,1,125000,B2B,영업사원_06,거래처_AD
2026-01-05,,WC2125,WC2,5,480000,B2B,,거래처_E
2026-01-05,,WC2125,WC2,2,192000,B2B,영업사원_05,거래처_Aj
2026-01-05,,WC2125,WC2,2,192000,B2B,영업사원_09,거래처_Ab
2026-01-05,,WC2126,WC2,1,193000,B2B,영업사원_03,거래처_Ac
2026-01-05,,WC2127,WC2,5,845000,B2B,영업사원_02,거래처_AM
2026-01-05,,WC2129,WC2,1,83732,B2B,영업사원_06,거래처_AH
2026-01-05,,WC2129,WC2,1,87000,B2B,,거래처_V
2026-01-05,,WC2131,WC2,1,162000,B2B,영업사원_01,거래처_Aq
2026-01-05,,WC2132,WC2,1,187000,B2B,영업사원_09,거래처_AP
2026-01-05,,WC2133,WC2,1,97000,B2B,영업사원_01,거래처_F
2026-01-05,,WC2142-N,WC2,1,290000,B2B,영업사원_10,거래처_A\
2026-01-05,,WC2143,WC2,5,1040000,B2B,영업사원_09,거래처_A]
2026-01-05,,WC2145,WC2,1,269000,B2B,영업사원_04,거래처_Aq
2026-01-05,,WC2148,WC2,1,238000,B2B,영업사원_03,거래처_I
2026-01-05,,WC2150,WC2,1,163000,B2B,영업사원_07,거래처_X
2026-01-05,,WC2150,WC2,3,489000,B2B,영업사원_08,거래처_AR
2026-01-05,매장_B,BF3108,BF3,3,420966,SSG,,
2026-01-05,매장_D,BF3125,BF3,1,71000,SSG,,
2026-01-05,매장_H,CW1504,CW1,1,446000,SSG,,
2026-01-05,매장_E,CW1508,CW1,3,1201605,SSG,,
2026-01-05,매장_F,CW1518,CW1,2,834000,SSG,,
2026-01-05,매장_C,RB1503,RB1,1,496000,SSG,,
2026-01-05,매장_G,RB1524,RB1,1,247000,SSG,,
2026-01-05,매장_H,RB1530,RB1,2,668000,SSG,,
2026-01-05,매장_J,RB1531,RB1,1,489000,SSG,,
2026-01-05,매장_D,WC2106,WC2,1,276000,SSG,,
2026-01-05,매장_I,BF3105,BF3,1,177000,공식몰,,
2026-01-05,매장_C,BF3115,BF3,1,59000,공식몰,,
2026-01-05,매장_F,BF3116,BF3,1,42946,공식몰,,
2026-01-05,매장_E,BF3116,BF3,1,45000,공식몰,,
2026-01-05,매장_C,BF3121,BF3,1,150957,공식몰,,
2026-01-05,매장_C,CW1502,CW1,2,906218,공식몰,,
2026-01-05,매장_I,CW1509,CW1,1,812000,공식몰,,
2026-01-05,매장_A,CW1522,CW1,2,1440000,공식몰,,
2026-01-05,매장_D,RB1515,RB1,1,504000,공식몰,,
2026-01-05,매장_E,RB1535,RB1,1,331000,공식몰,,
2026-01-05,매장_J,RB1535,RB1,1,331000,공식몰,,
2026-01-05,매장_G,RB1536,RB1,5,1621740,공식몰,,
2026-01-05,매장_J,RB1537,RB1,1,275000,공식몰,,
2026-01-05,매장_A,WC2103,WC2,1,95000,공식몰,,
2026-01-05,매장_H,WC2112,WC2,1,153000,공식몰,,
2026-01-05,매장_E,WC2124,WC2,2,600000,공식몰,,
2026-01-05,매장_E,WC2132,WC2,1,187000,공식몰,,
2026-01-05,매장_I,WC2146,WC2,10,970000,공식몰,,
2026-01-05,매장_G,BF3120,BF3,1,133000,네이버,,
2026-01-05,매장_D,BF3126,BF3,1,78000,네이버,,
2026-01-05,매장_F,CW1511,CW1,2,1166000,네이버,,
2026-01-05,매장_J,CW1529,CW1,1,778000,네이버,,
2026-01-05,매장_C,CW1530,CW1,1,575000,네이버,,
2026-01-05,매장_J,RB1511,RB1,1,351000,네이버,,
2026-01-05,매장_D,RB1514,RB1,1,514000,네이버,,
2026-01-05,매장_G,RB1529,RB1,3,705735,네이버,,
2026-01-05,매장_G,RB1536,RB1,1,344000,네이버,,
2026-01-05,매장_F,WC2101,WC2,1,194000,네이버,,
2026-01-05,매장_J,WC2101,WC2,1,194000,네이버,,
2026-01-05,매장_G,WC2106,WC2,1,247947,네이버,,
2026-01-05,매장_H,WC2107-N,WC2,2,588000,네이버,,
2026-01-05,매장_J,WC2114-N,WC2,3,543000,네이버,,
2026-01-05,매장_E,WC2114-N,WC2,1,181000,네이버,,
2026-01-05,매장_G,WC2116,WC2,1,237000,네이버,,
2026-01-05,매장_J,WC2148,WC2,1,238000,네이버,,
2026-01-05,매장_F,WC2149-N,WC2,1,195092,네이버,,
2026-01-05,매장_J,BF3119,BF3,1,179000,쿠팡,,
2026-01-05,매장_C,BF3123,BF3,2,236000,쿠팡,,
2026-01-05,매장_D,BF3126,BF3,2,156000,쿠팡,,
2026-01-05,매장_D,CW1507,CW1,1,381000,쿠팡,,
2026-01-05,매장_G,RB1506,RB1,3,1929000,쿠팡,,
2026-01-05,매장_J,RB1519,RB1,1,436000,쿠팡,,
2026-01-05,매장_H,RB1523,RB1,2,1258000,쿠팡,,
2026-01-05,매장_D,RB1534,RB1,10,3580000,쿠팡,,
2026-01-05,매장_I,RB1540,RB1,1,365000,쿠팡,,
2026-01-05,매장_A,WC2104,WC2,2,576000,쿠팡,,
2026-01-05,매장_A,WC2116,WC2,1,237000,쿠팡,,
2026-01-05,매장_E,WC2121-N,WC2,2,498000,쿠팡,,
2026-01-05,매장_B,WC2135-N,WC2,1,300000,쿠팡,,
2026-01-06,,BF3101,BF3,1,154000,B2B,영업사원_09,거래처_Ac
2026-01-06,,BF3106,BF3,1,78000,B2B,영업사원_09,거래처_AN
2026-01-06,,BF3108,BF3,10,1640000,B2B,영업사원_03,거래처_AE
2026-01-06,,BF3110,BF3,1,79000,B2B,영업사원_09,거래처_AI
2026-01-06,,BF3110,BF3,1,79000,B2B,영업사원_10,거래처_C
2026-01-06,,BF3120,BF3,1,133000,B2B,영업사원_01,거래처_AZ
2026-01-06,,BF3120,BF3,1,126508,B2B,영업사원_10,거래처_C
2026-01-06,,BF3121,BF3,2,298494,B2B,영업사원_05,거래처_Ay
2026-01-06,,BF3124,BF3,1,91232,B2B,,거래처_An
2026-01-06,,BF3128,BF3,2,202000,B2B,영업사원_10,거래처_A
2026-01-06,,CW1502,CW1,10,4720000,B2B,영업사원_08,거래처_AH
2026-01-06,,CW1504,CW1,1,446000,B2B,영업사원_08,거래처_Ae
2026-01-06,,CW1504,CW1,1,446000,B2B,영업사원_05,거래처_Ay
2026-01-06,,CW1512,CW1,3,2502000,B2B,영업사원_06,거래처_AJ
2026-01-06,,CW1513,CW1,1,681000,B2B,영업사원_05,거래처_AT
2026-01-06,,CW1516,CW1,1,415000,B2B,영업사원_06,거래처_Q
2026-01-06,,CW1517,CW1,3,1872000,B2B,영업사원_06,거래처_AA
2026-01-06,,CW1522,CW1,1,720000,B2B,영업사원_02,거래처_An
2026-01-06,,CW1523,CW1,1,318000,B2B,영업사원_02,거래처_E
2026-01-06,,CW1529,CW1,1,678092,B2B,영업사원_04,거래처_Ah
2026-01-06,,CW1530,CW1,2,1150000,B2B,영업사원_07,거래처_AG
2026-01-06,,RB1501,RB1,10,3680000,B2B,영업사원_08,거래처_T
2026-01-06,,RB1502,RB1,1,635000,B2B,영업사원_01,거래처_R
2026-01-06,,RB1508,RB1,1,369000,B2B,영업사원_09,거래처_Ad
2026-01-06,,RB1510,RB1,3,2016000,B2B,영업사원_01,거래처_A
2026-01-06,,RB1511,RB1,1,351000,B2B,영업사원_06,거래처_AX
2026-01-06,,RB1514,RB1,1,514000,B2B,영업사원_02,거래처_AZ
2026-01-06,,RB1517,RB1,1,541000,B2B,영업사원_09,거래처_Ag
2026-01-06,,RB1520,RB1,1,391000,B2B,영업사원_06,거래처_AH
2026-01-06,,RB1520,RB1,3,1173000,B2B,영업사원_05,거래처_Z
2026-01-06,,RB1522,RB1,1,661000,B2B,영업사원_05,거래처_AW
2026-01-06,,RB1528,RB1,20,6840000,B2B,영업사원_10,거래처_Ao
2026-01-06,,RB1534,RB1,5,1790000,B2B,영업사원_09,거래처_F
2026-01-06,,RB1535,RB1,1,314555,B2B,영업사원_10,거래처_Ax
2026-01-06,,RB1538,RB1,3,1749000,B2B,영업사원_01,거래처_As
2026-01-06,,RB1538,RB1,3,1749000,B2B,영업사원_05,거래처_V
2026-01-06,,RB1540,RB1,2,730000,B2B,영업사원_02,거래처_Af
2026-01-06,,WC2102,WC2,5,915000,B2B,영업사원_07,거래처_I
2026-01-06,,WC2107-N,WC2,20,5880000,B2B,영업사원_08,거래처_AT
2026-01-06,,WC2111,WC2,1,204000,B2B,영업사원_09,거래처_P
2026-01-06,,WC2115,WC2,2,486000,B2B,영업사원_02,거래처_A\
2026-01-06,,WC2115,WC2,20,4860000,B2B,영업사원_05,거래처_Ad
2026-01-06,,WC2116,WC2,1,237000,B2B,영업사원_08,거래처_Ai
2026-01-06,,WC2117,WC2,1,308000,B2B,영업사원_03,거래처_A[
